"","plotID","d15N","d13C","nitrogenPercent","carbonPercent","CNratio"
"331","HARV_050",NA,NA,NA,NA,NA
"332","HARV_051",NA,NA,NA,NA,NA
"333","HARV_052",NA,NA,NA,NA,NA
"334","HEAL_045",-2.96666666666667,-27.3333333333333,0.673333333333333,52.05,81.0666666666667
"335","HEAL_046",-3.33333333333333,-28,0.706666666666667,50.7333333333333,81.3666666666667
"336","HEAL_047",-2.73333333333333,-27.6666666666667,0.833333333333333,51.2266666666667,63.4333333333333
"337","HEAL_048",-1.33333333333333,-27.9,0.983333333333333,51.2966666666667,62.3666666666667
"338","HEAL_049",-2.43333333333333,-26.8,0.613333333333333,50.4666666666667,84
"339","HEAL_050",-0.6,-26.925,0.8475,50,65.2
"340","HEAL_051",-2.56666666666667,-28.1333333333333,0.846666666666667,53.15,65.7666666666667
"341","HEAL_052",-4.2,-27.9666666666667,0.6,51.9333333333333,87.7
"342","HEAL_053",-1.93333333333333,-27.5333333333333,0.71,49.3766666666667,70.9
"343","HEAL_054",-2.46666666666667,-27.6,0.583333333333333,51.03,92.8666666666667
"344","HEAL_055",-1.7,-27.1666666666667,0.633333333333333,50.0766666666667,82.0333333333333
"345","HEAL_056",-1.9,-27.6333333333333,0.726666666666667,51.1266666666667,77.9
"346","HEAL_057",-0.466666666666667,-27.9,0.933333333333333,49.5066666666667,54.8333333333333
"347","HEAL_058",-3.35,-27.8,0.7325,50.31,71.475
